model,precision,recall,f1
CF-KNN  k=20,0.871,0.6651665556665556,0.7542932990844003
CF-KNN  k=15,0.8490000000000001,0.6476666805416804,0.734791545186908
SVD  components=150,0.81,0.6161824286824287,0.6999213520585928
CF-KNN  k=10,0.784,0.5946649461649461,0.6763315753432855
SVD  components=100,0.736,0.5556675962925963,0.6332455063958815
CF-KNN  k=5,0.5939999999999999,0.4612185314685314,0.5192551102214037
SVD  components=50,0.517,0.38486424686424686,0.4412522529860089
SVD  components=20,0.26,0.19759808247308247,0.22454421597691648
